id,name,code,image-large,image-normal,partner,gameid,game_category_id
210,Rich Water,RICHWATER,https://pgslot.cc/cardsnewlobby/portrait/ambslot/large/RICHWATER.png,https://pgslot.cc/cardsnewlobby/portrait/ambslot/normal/RICHWATER.png,AMBSLOT,1,1
211,Jin Sung,JINSUNG,https://pgslot.cc/cardsnewlobby/portrait/ambslot/large/JINSUNG.png,https://pgslot.cc/cardsnewlobby/portrait/ambslot/normal/JINSUNG.png,AMBSLOT,1,"1,2,4"
212,Angry Win,ANGRYBIRD,https://pgslot.cc/cardsnewlobby/portrait/ambslot/large/ANGRYBIRD.png,https://pgslot.cc/cardsnewlobby/portrait/ambslot/normal/ANGRYBIRD.png,AMBSLOT,1,"1,2,4"
213,Crazy Worm Treasure Hunt,CRAZYWORM,https://pgslot.cc/cardsnewlobby/portrait/ambslot/large/CRAZYWORM.png,https://pgslot.cc/cardsnewlobby/portrait/ambslot/normal/CRAZYWORM.png,AMBSLOT,1,1
214,Sushi Prime,SUSHI35,https://pgslot.cc/cardsnewlobby/portrait/ambslot/large/SUSHI35.png,https://pgslot.cc/cardsnewlobby/portrait/ambslot/normal/SUSHI35.png,AMBSLOT,1,"1,2,4"
202,Solar Space,SOLAR,https://pgslot.cc/cardsnewlobby/portrait/ambslot/large/Solar_Space.png,https://pgslot.cc/cardsnewlobby/portrait/ambslot/normal/Solar_Space.png,AMBSLOT,2,"1,2,4"
205,The King Joker,JOKER,https://pgslot.cc/cardsnewlobby/portrait/ambslot/large/JOKER.png,https://pgslot.cc/cardsnewlobby/portrait/ambslot/normal/thekingjoker.png,AMBSLOT,3,"1,2,4"
201,Kraken,KRAKEN,https://pgslot.cc/cardsnewlobby/portrait/ambslot/large/KRAKEN.png,https://pgslot.cc/cardsnewlobby/portrait/ambslot/normal/KRAKEN.png,AMBSLOT,4,1
78,Ocean Lord,1001,https://pgslot.cc/cardsnewlobby/portrait/drg/large/1001.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/1001.png,ASKMEBET,1001,5
89,Let's Shoot,1002,https://pgslot.cc/cardsnewlobby/portrait/drg/large/1002.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/1002.png,ASKMEBET,1002,5
93,3 Gods Fishing,1003,https://pgslot.cc/cardsnewlobby/portrait/drg/large/1003.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/1003.png,ASKMEBET,1003,5
92,Diamond Mogul,3001,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3001.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3001.png,ASKMEBET,3001,"1,2"
71,Over Dragon's Gate,3002,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3002.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3002.png,ASKMEBET,3002,"1,2"
85,Get Money,3003,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3003.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3003.png,ASKMEBET,3003,"1,2"
102,Great Lion,3004,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3004.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3004.png,ASKMEBET,3004,"1,2"
86,Ultra Treasure,3005,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3005.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3005.png,ASKMEBET,3005,"1,2"
88,Egypt Oracle,3006,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3006.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3006.png,ASKMEBET,3006,"1,2"
72,Caishen Coming,3007,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3007.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3007.png,ASKMEBET,3007,"1,2"
98,Candy Dynasty,3008,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3008.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3008.png,ASKMEBET,3008,"1,2"
79,Rich Lion,3009,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3009.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3009.png,ASKMEBET,3009,"1,2"
