id,name,code,image_large,image_normal,partner,gameid,game_category_id,active,date_time,game_type,lines,game_model,maximum_win,free_spin,min_bet,max_bet,demo_link
167,Moodie Foodie,S-MF01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/moodie-foodie.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/moodie-foodie.jpg,spadegaming,,,,,1,27,,N/A,Free game,2,"5,000",Demo link
168,Heroes,S-HE01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/heroes.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/heroes.jpg,spadegaming,,,,,1,50,,x1500,Free game,5,"5,000",Demo link
169,Sweet Bakery,S-SB01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/sweet-bakery.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/sweet-bakery.jpg,spadegaming,,,,,1,10,,x5000,Bonus game,2,"5,000",Demo link
170,Golden Fist,S-GF01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/golden-fist.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/golden-fist.jpg,spadegaming,,,,,1,25,,x1000,"Free game, Bonus game",6,"6,000",Demo link
171,Gangster Axe,S-GA01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/gangster-axe.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/gangster-axe.jpg,spadegaming,,,,,1,100,,x1500,Free game,5,"5,000",Demo link
172,Jungle King,S-TZ01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/jungle-king.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/jungle-king.jpg,spadegaming,,,,,1,1024,,x2000,"Free game, Bonus game",4,"5,000",Demo link
173,Pan Fairy,S-PP01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/pan-fairy.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/pan-fairy.jpg,spadegaming,,,,,1,9,,x30000,Free game,9,"4,500",Demo link
174,ShangHai 008,S-SH01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/shanghai-008.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/shanghai-008.jpg,spadegaming,,,,,1,25,,x20000,Free game,5,"5,000",Demo link
175,Fist of Gold,S-FG01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/fist-of-gold.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/fist-of-gold.jpg,spadegaming,,,,,1,243,,x10000,Free game,5,"5,000",Demo link
176,Sea Emperor,S-NT01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/sea-emperor.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/sea-emperor.jpg,spadegaming,,,,,1,25,,x20000,Free game,5,"5,000",Demo link
177,Ho Yeah Monkey,S-HY01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/ho-yeah-monkey.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/ho-yeah-monkey.jpg,spadegaming,,,,,1,1,,x2000,-,2,"3,000",Demo link
178,Golden Chicken,S-GC03,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/golden-chicken.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/golden-chicken.jpg,spadegaming,,,,,1,1024,,N/A,"Free game, Bonus game",4,"5,000",Demo link
179,5 Fortune SA,S-WM03,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/5-fortune-sa.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/5-fortune-sa.jpg,spadegaming,,,,,1,15,,x60000,Free game,3,"4,500",Demo link
180,Emperor Gate SA,S-EG03,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/emperor-gate-sa.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/emperor-gate-sa.jpg,spadegaming,,,,,1,50,,N/A,Free game,5,"5,000",Demo link
181,Great Stars SA,S-GS04,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/great-stars-sa.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/great-stars-sa.jpg,spadegaming,,,,,1,15,,x60000,Free game,3,"4,500",Demo link
182,Iceland SA,S-IL03,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/iceland-sa.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/iceland-sa.jpg,spadegaming,,,,,1,50,,x120000,Free game,5,"5,000",Demo link
183,Wong Choy SA,S-WC03,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/wong-choy-sa.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/wong-choy-sa.jpg,spadegaming,,,,,1,15,,x60000,Free game,3,"4,500",Demo link
184,Baby Cai Shen,S-BC01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/baby-cai-shen.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/baby-cai-shen.jpg,spadegaming,,,,,1,9,,x3750,Free game,9,"4,500",Demo link
185,Mermaid,S-MR01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/mermaid.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/mermaid.jpg,spadegaming,,,,,1,15,,x30000,Free game,3,"4,500",Demo link
186,Wong Po,S-WP01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/wong-po.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/wong-po.jpg,spadegaming,,,,,1,25,,N/A,Free game,5,"5,000",Demo link
187,Alibaba,S-AL01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/alibaba.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/alibaba.jpg,spadegaming,,,,,1,9,,x10000,-,9,"4,500",Demo link
188,Double Fortune,S-DF01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/double-fortune.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/double-fortune.jpg,spadegaming,,,,,1,25,,x30000,Free game,5,"5,000",Demo link
189,God's Kitchen,S-GO01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/god-kitchen.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/god-kitchen.jpg,spadegaming,,,,,1,20,,x30000,"Free game, Bonus game",2,"5,000",Demo link
190,Drunken Jungle,S-CM01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/drunken-jungle.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/drunken-jungle.jpg,spadegaming,,,,,1,1,,x2500,-,2,"3,000",Demo link
191,Honey Hunter,S-HH01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/honey-hunter.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/honey-hunter.jpg,spadegaming,,,,,1,8,,x1000,-,8,"4,000",Demo link
